nome,cpf,idade,data,endereco,estado
ana beatriz da rocha,438.***.***-04,79.0,1944-12-18,"alameda joão fernandes, 25",GO
benjamin moura,975.***.***-97,21.0,2002-04-15,"trevo de rezende, 83",AL
ana julia fogaça,103.***.***-70,37.0,1986-05-15,"área de gonçalves, 31",RR
clara da ma,354.***.***-00,40.0,1983-08-09,"aeroporto de gomes, 936",MT
fernanda oliveira,102.***.***-14,42.0,1981-10-30,"trevo correia, 72",RN
laura das neves,723.***.***-29,25.0,1999-02-26,"viaduto vitor gabriel ferreira, 32",GO
lívia teixeira,694.***.***-29,39.0,1984-05-09,"alameda teixeira, 9",AL
eloah moreira,904.***.***-00,89.0,1934-06-08,"pátio de nunes, 3",CE
lívia cardoso,619.***.***-61,87.0,1936-05-14,campo de da paz,PE
augusto freis,930.***.***-01,62.0,1961-08-23,"trevo marcos vinicius jesus, 4",AL
raquel fernandes,467.***.***-94,76.0,1947-05-24,"parque de teixeira, 132",AM
 anthony da cos,614.***.***-07,32.0,1991-06-12,"área lima, 7",PI
murilo melo,431.***.***-80,22.0,2001-11-21,"trecho pires, 10",MS
 mirella barbosa,430.***.***-75,85.0,1939-01-31,pátio de da rosa,SE
gabriela das neves,437.***.***-65,40.0,1983-04-17,avenida emilly pereira,AL
bruno da cunha,259.***.***-24,29.0,1994-05-08,quadra costa,MA
natália rezende,784.***.***-11,61.0,1962-04-30,"sítio nascimento, 64",MG
emilly caldeira,732.***.***-07,23.0,2000-05-28,"estrada eduardo porto, 85",MA
levi azevedo,639.***.***-91,85.0,1939-02-05,"estação da cruz, 13",PI
nicole da rocha,567.***.***-90,23.0,2000-10-07,"distrito clara viana, 41",CE
joana moreira,435.***.***-51,64.0,1959-08-18,"viela de das neves, 139",DF
maria eduarda almeida,573.***.***-56,72.0,1952-03-12,"travessa de barros, 4",PB
marcela da cruz,876.***.***-78,92.0,1932-03-05,"viela viana, 95",CE
isaac oliveira,209.***.***-01,50.0,1973-08-22,"rodovia cardoso, 377",MT
manuela pinto,094.***.***-20,39.0,1984-04-13,"praia almeida, 6",AM
bryan ramos,681.***.***-94,36.0,1988-06-03,"aeroporto de da rocha, 27",MS
 enzo gabriel fernandes,769.***.***-21,18.0,2005-08-24,"rodovia laís nunes, 50",RR
brenda ramos,269.***.***-83,97.0,1926-04-19,"rodovia de souza, 416",PI
yuri rezende,564.***.***-89,97.0,1926-04-17,"praia costa, 3",AC
luiz miguel da cos,630.***.***-34,74.0,1950-03-09,via porto,PR
enzo nogueira,187.***.***-69,63.0,1961-08-01,"campo cauã freitas, 66",PB
davi lucca azevedo,035.***.***-10,67.0,1956-09-30,"condomínio cunha, 74",PA
luiz otávio fernandes,716.***.***-85,69.0,1954-08-08,núcleo pietro barros,PE
thomas correia,083.***.***-66,77.0,1947-02-14,"aeroporto melo, 31",AC
davi lucca teixeira,647.***.***-26,82.0,1941-11-16,"condomínio de lima, 66",GO
luiz gusvo ribeiro,149.***.***-78,29.0,1994-09-19,"pátio davi lucca viana, 6",PA
pietra da ma,427.***.***-08,66.0,1957-05-27,"feira gonçalves, 4",AP
joaquim azevedo,016.***.***-16,69.0,1955-03-25,núcleo viana,RN
 agatha melo,506.***.***-60,26.0,1998-02-10,"feira de oliveira, 1",RN
maria julia lopes,613.***.***-68,55.0,1969-04-02,"campo araújo, 10",GO
 marcelo cardoso,862.***.***-07,78.0,1945-04-15,lagoa ana sophia oliveira,RN
carina moreira,207.***.***-11,33.0,1991-03-29,"jardim sales, 42",RO
heitor vieira,089.***.***-92,74.0,1950-01-27,"morro aragão, 796",MT
luiz fernando da luz,071.***.***-01,73.0,1950-04-09,"aeroporto pietro oliveira, 4",RR
sabrina silva,216.***.***-69,84.0,1939-06-06,"rodovia pedro henrique santos, 46",AL
luiz henrique martins,648.***.***-82,45.0,1978-10-21,"praia ferreira, 17",RJ
carina carvalho,196.***.***-10,46.0,1977-05-29,"vila de farias, 46",AL
ana vitória azevedo,529.***.***-01,76.0,1947-08-10,"campo yasmin moreira, 49",AP
thales campos,412.***.***-89,81.0,1943-03-08,"avenida lavínia castro, 46",SP
thales oliveira,369.***.***-50,82.0,1941-06-24,condomínio levi almeida,AM
fernanda cavalcanti,912.***.***-51,70.0,1953-11-28,"viela isis gomes, 43",AP
 joão gabriel da conceição,831.***.***-00,46.0,1977-08-31,"jardim luiz felipe duarte, 1",RR
noah barros,310.***.***-86,32.0,1991-12-22,"jardim almeida, 48",MS
 felipe novaes,685.***.***-59,51.0,1972-10-29,"pátio de ribeiro, 16",RJ
luiz fernando aragão,120.***.***-01,19.0,2004-09-15,"ladeira mariane santos, 7",SE
marina ramos,068.***.***-10,60.0,1963-05-08,"ladeira duarte, 35",MT
 joana lopes,619.***.***-11,57.0,1966-06-26,"viaduto de novaes, 952",SP
isabel duarte,146.***.***-87,57.0,1966-12-27,"aeroporto isaac da conceição, 1",MT
paulo jesus,078.***.***-92,53.0,1970-04-25,"fazenda de porto, 4",PR
laura cos,540.***.***-25,84.0,1940-02-27,"distrito de moraes, 56",AP
 milena pinto,280.***.***-24,64.0,1960-02-29,"jardim novaes, 13",RO
danilo ribeiro,109.***.***-80,67.0,1956-06-20,"ladeira de da conceição, 76",TO
lívia nunes,742.***.***-23,49.0,1975-03-14,"passarela de porto, 65",PI
alícia roigues,349.***.***-16,51.0,1972-08-26,"travessa de farias, 9",RS
agatha rezende,057.***.***-79,94.0,1929-10-25,"parque da luz, 3",RR
juliana santos,605.***.***-59,93.0,1930-09-18,"parque de silveira, 6",MS
maria fernanda da conceição,408.***.***-50,62.0,1961-09-26,"campo santos, 714",RJ
daniela barbosa,861.***.***-64,35.0,1988-04-19,"área de moreira, 82",DF
arthur pinto,562.***.***-25,30.0,1993-07-08,viela kamilly cunha,SP
emanuel aragão,910.***.***-57,42.0,1982-09-04,"campo de da cruz, 22",SC
 alice vieira,936.***.***-00,77.0,1946-12-28,rodovia cunha,MA
maria cecília moreira,805.***.***-71,65.0,1959-02-18,"passarela joão pedro nunes, 6",DF
maria vitória campos,380.***.***-57,55.0,1968-07-05,"viela da costa, 16",MA
isabel da conceição,819.***.***-93,89.0,1934-11-12,"vale nogueira, 8",CE
,013.***.***-69,44.0,1979-09-06,"parque helena pires, 852",AL
 thomas nunes,967.***.***-46,81.0,1942-08-14,"vereda da mota, 37",SE
lucca moura,718.***.***-35,37.0,1986-12-20,"praia bryan martins, 8",SE
diogo souza,169.***.***-95,65.0,1958-07-13,"largo maysa cavalcanti, 6",AP
juliana cos,980.***.***-39,53.0,1970-08-20,"alameda de campos, 32",AL
eduarda da cos,739.***.***-48,88.0,1935-07-10,"jardim de lima, 1",MT
alana freis,427.***.***-73,50.0,1973-07-15,aeroporto noah jesus,BA
murilo ramos,374.***.***-00,97.0,1927-01-02,"feira jesus, 20",DF
cecília souza,294.***.***-30,20.0,2003-04-15,"campo emanuelly gonçalves, 51",BA
raul martins,187.***.***-26,96.0,1927-10-17,"alameda de carvalho, 150",RR
renan cavalcanti,072.***.***-77,69.0,1954-05-29,"trevo nina pereira, 99",CE
 diego pires,842.***.***-41,34.0,1989-10-25,"morro eduarda farias, 92",AC
sofia da rocha,719.***.***-03,57.0,1966-10-08,"vale davi luiz dias, 709",CE
lorenzo dias,271.***.***-04,98.0,1925-09-08,"favela elisa barbosa, 521",SC
 vitor souza,426.***.***-83,74.0,1950-11-04,"aeroporto laura gonçalves, 7",MG
vitor gabriel cardoso,354.***.***-50,30.0,1993-10-14,"setor de da luz, 81",GO
peo roigues,790.***.***-20,98.0,1925-07-17,"trevo de moreira, 63",PI
eduarda teixeira,745.***.***-17,76.0,1947-07-26,"ladeira peixoto, 85",MA
daniel oliveira,753.***.***-08,34.0,1989-09-09,colônia maitê cardoso,DF
isadora nogueira,129.***.***-05,29.0,1994-10-29,"praia de campos, 94",PR
 fernando moraes,768.***.***-95,96.0,1927-08-06,"área moreira, 8",PA
luiza araújo,246.***.***-10,70.0,1954-03-28,jardim de dias,CE
maria luiza pires,620.***.***-67,46.0,1977-08-23,"viela de gonçalves, 79",SC
joão lucas das neves,974.***.***-49,49.0,1975-03-17,"campo de nascimento, 5",SP
vitor gabriel carvalho,387.***.***-92,86.0,1937-08-14,"viaduto farias, 15",PR
henrique sales,196.***.***-39,57.0,1966-05-21,"jardim cavalcanti, 94",BA
henrique ferreira,360.***.***-07,29.0,1994-10-25,"lago de lopes, 6",GO
 raquel da mo,263.***.***-78,33.0,1991-01-02,"aeroporto de fogaça, 29",TO
levi melo,513.***.***-09,36.0,1988-05-03,"travessa de da luz, 42",MS
ana luiza gomes,287.***.***-12,32.0,1991-08-14,"estação de da costa, 211",PA
isaac fernandes,572.***.***-07,77.0,1946-04-26,"recanto rodrigues, 80",PI
leano fernandes,018.***.***-15,65.0,1958-10-19,"praia daniel barbosa, 847",BA
 breno sales,135.***.***-42,77.0,1946-05-08,estação miguel rodrigues,AL
rafael araújo,481.***.***-17,84.0,1939-09-25,"trevo sofia moreira, 67",CE
eduardo da cos,043.***.***-31,73.0,1950-06-14,"quadra de alves, 729",PA
 larissa fernandes,562.***.***-00,97.0,1926-07-18,"aeroporto jesus, 2",ES
milena da rocha,864.***.***-49,80.0,1944-01-20,"alameda araújo, 53",MS
eduarda aragão,362.***.***-90,76.0,1947-10-07,"viela de sales, 68",TO
 ian barbosa,149.***.***-70,66.0,1957-10-27,"morro ryan da luz, 43",PB
ian cardoso,731.***.***-78,83.0,1940-04-23,área ferreira,AP
vitor gabriel ferreira,916.***.***-01,53.0,1970-10-29,"conjunto farias, 36",SE
roigo melo,982.***.***-89,44.0,1980-07-04,praia marina da rosa,AC
anthony rezende,831.***.***-66,93.0,1930-07-16,"via de viana, 68",SC
 bianca farias,783.***.***-26,32.0,1991-10-30,"viela campos, 2",MG
joão carvalho,298.***.***-50,91.0,1932-10-22,"vereda de aragão, 15",RR
benício da cos,783.***.***-07,29.0,1995-07-03,"vereda de souza, 13",PR
yuri alves,896.***.***-03,86.0,1937-10-16,"colônia da costa, 7",SE
gabriela da rosa,210.***.***-31,76.0,1947-12-18,"vale de caldeira, 8",AL
eduarda da conceição,238.***.***-00,99.0,1925-01-09,"praia de silva, 91",ES
vicente aragão,875.***.***-88,97.0,1927-11-03,avenida da luz,AL
 sabrina teixeira,682.***.***-89,88.0,1936-06-01,"estrada de da rosa, 69",AP
antônio santos,198.***.***-03,85.0,1938-09-14,"morro da rocha, 84",MT
 lucca pinto,526.***.***-09,21.0,2002-10-26,"estrada sabrina freitas, 40",DF
emilly vieira,924.***.***-33,72.0,1952-11-01,"recanto miguel moraes, 45",RS
 gabriel da ma,701.***.***-69,59.0,1965-02-28,"feira de farias, 28",RS
emanuella azevedo,406.***.***-01,69.0,1954-11-23,"sítio moura, 50",GO
ana julia rocha,618.***.***-60,47.0,1976-08-18,"trevo davi lucca da cruz, 72",PI
milena castro,482.***.***-82,60.0,1964-02-06,"chácara da mota, 218",RJ
lavínia peixoto,204.***.***-50,72.0,1951-11-08,"feira martins, 78",RN
enzo gabriel gomes,893.***.***-40,28.0,1995-12-20,"setor luiz henrique monteiro, 4",MG
laura fogaça,196.***.***-80,34.0,1989-12-12,"chácara de da mota, 4",PA
 vitor da ma,062.***.***-78,60.0,1963-10-06,endereço inválido,DESCONHECIDO
sophie pinto,023.***.***-40,29.0,1995-01-27,residencial noah mendes,SC
 kaique peixoto,726.***.***-47,62.0,1962-03-20,"fazenda moraes, 80",ES
luiz henrique mendes,248.***.***-76,90.0,1934-01-18,"travessa leandro da mata, 898",RO
ana beatriz pereira,798.***.***-01,54.0,1970-01-01,condomínio de santos,MG
 rafael silva,238.***.***-15,26.0,1997-04-26,"estação lara almeida, 67",PE
 olivia mendes,189.***.***-05,90.0,1933-10-10,residencial de mendes,RR
eduardo sales,052.***.***-74,39.0,1984-12-11,"aeroporto emanuel barros, 4",DF
ané roigues,375.***.***-91,73.0,1951-02-18,"trecho gomes, 3",GO
sophia cavalcanti,092.***.***-56,91.0,1932-05-25,"alameda paulo da cruz, 70",PR
carolina sales,519.***.***-40,32.0,1992-02-06,"residencial pinto, 95",DF
lucas monteiro,654.***.***-37,76.0,1947-06-29,"lagoa de silveira, 91",PI
joão felipe dias,850.***.***-42,52.0,1972-04-03,"condomínio moura, 504",SE
 ian fogaça,248.***.***-32,93.0,1931-01-25,distrito de cavalcanti,RJ
lorena barros,785.***.***-10,83.0,1940-04-24,"favela letícia jesus, 34",MG
 ana clara teixeira,760.***.***-59,49.0,1974-11-23,"feira de da conceição, 796",SE
natália monteiro,481.***.***-60,81.0,1942-10-22,morro de ramos,AM
eduarda duarte,893.***.***-30,20.0,2003-10-10,"quadra lopes, 69",CE
larissa carvalho,632.***.***-37,91.0,1932-05-21,"jardim de carvalho, 5",AL
lara moraes,549.***.***-09,19.0,2005-09-02,"vereda araújo, 18",PI
sophie da rosa,254.***.***-50,97.0,1926-10-06,"pátio fernandes, 59",AM
olivia martins,391.***.***-39,82.0,1941-04-13,"jardim vinicius caldeira, 28",DF
thomas barros,105.***.***-12,72.0,1951-07-31,"passarela de araújo, 123",AM
davi luiz azevedo,478.***.***-31,59.0,1964-11-30,"rodovia eduarda ramos, 87",PB
danilo santos,297.***.***-55,97.0,1926-12-17,"viela ana júlia fernandes, 25",AC
 enzo porto,496.***.***-67,98.0,1925-04-20,"vereda cauê barbosa, 141",MA
bianca alves,304.***.***-57,67.0,1956-11-22,"campo rodrigues, 351",MS
alexia das neves,267.***.***-00,85.0,1938-04-16,"residencial de sales, 5",SE
esther campos,523.***.***-53,58.0,1965-07-25,"área de castro, 108",PI
ana júlia freis,584.***.***-17,58.0,1965-06-28,"estrada fernanda jesus, 2",AC
maria vitória da ma,826.***.***-76,57.0,1967-01-02,"lagoa pietro da cruz, 524",RO
ryan da ma,172.***.***-80,20.0,2003-06-17,"rodovia de porto, 90",GO
emilly ribeiro,584.***.***-05,22.0,2002-03-16,"parque de gomes, 71",PA
bernardo pinto,217.***.***-12,94.0,1929-10-07,"esplanada de moura, 30",PA
nicole peixoto,829.***.***-89,68.0,1956-12-02,distrito moraes,MS
isaac da conceição,867.***.***-85,75.0,1948-11-10,"lago da luz, 59",AM
davi lucca santos,571.***.***-73,62.0,1962-01-22,"favela beatriz da costa, 77",RJ
paulo lopes,186.***.***-11,67.0,1956-05-05,"passarela davi lucca lopes, 37",MG
sophie vieira,938.***.***-83,36.0,1987-06-09,"vereda de da mota, 564",MA
roigo da cruz,648.***.***-11,51.0,1973-01-20,"favela costa, 372",GO
 samuel barbosa,903.***.***-23,30.0,1993-12-08,"distrito jesus, 34",RS
 cauê ramos,109.***.***-34,70.0,1953-07-26,"viela de castro, 27",DF
bruno jesus,354.***.***-42,27.0,1997-03-19,"campo moreira, 48",RN
lívia correia,843.***.***-65,52.0,1972-01-20,"favela de da rocha, 6",MS
enrico da rocha,241.***.***-05,26.0,1997-08-11,condomínio maria julia cavalcanti,PA
rafaela aragão,269.***.***-22,73.0,1950-06-18,chácara maria fernanda castro,PB
larissa lopes,015.***.***-12,78.0,1946-03-27,"largo cavalcanti, 96",SC
isadora carvalho,917.***.***-13,99.0,1924-09-06,"pátio de da paz, 57",SC
 vitor da rocha,234.***.***-51,77.0,1946-05-21,"recanto de novaes, 32",TO
isadora pereira,501.***.***-06,92.0,1932-01-08,"jardim stella da costa, 91",BA
 bernardo da cunha,147.***.***-79,50.0,1973-10-24,"residencial marina azevedo, 89",MT
gabrielly mendes,954.***.***-50,46.0,1977-04-13,"praça joão rezende, 30",RJ
 bruno da ma,473.***.***-99,94.0,1930-03-18,"chácara alice ferreira, 678",TO
breno rocha,237.***.***-52,60.0,1964-05-01,estação de rodrigues,PA
luigi ferreira,148.***.***-19,69.0,1954-08-11,trevo vieira,AP
davi lucca da cruz,862.***.***-78,71.0,1952-08-19,"sítio de novaes, 75",AL
henrique almeida,824.***.***-31,59.0,1964-10-26,"área da costa, 29",MS
 vitor hugo caldeira,943.***.***-42,36.0,1988-01-29,"feira da costa, 17",SE
alexia souza,348.***.***-48,70.0,1953-09-20,"lagoa alves, 97",MT
luiza azevedo,683.***.***-92,73.0,1950-10-15,"recanto elisa da mota, 8",AL
 kaique da mo,143.***.***-60,92.0,1932-10-03,"setor vinicius moraes, 475",TO
laura lima,051.***.***-41,82.0,1941-07-19,"área oliveira, 91",SP
raul roigues,039.***.***-05,55.0,1969-03-10,"aeroporto da rocha, 499",BA
joaquim melo,305.***.***-21,91.0,1932-11-23,"ladeira ribeiro, 6",PE
benjamin cardoso,054.***.***-44,80.0,1943-09-08,"trevo da cunha, 2",AL
joão miguel lopes,741.***.***-26,33.0,1990-05-07,"via de nunes, 63",ES
letícia da mo,587.***.***-02,24.0,2000-02-26,"travessa de lopes, 205",CE
levi da rocha,840.***.***-92,40.0,1983-10-09,"via brenda cunha, 49",AC
lorena caldeira,625.***.***-60,53.0,1971-02-02,"praça ana luiza fernandes, 5",BA
cauê nogueira,473.***.***-64,96.0,1927-08-30,recanto melo,ES
 yasmin ferreira,805.***.***-68,85.0,1938-08-29,"lago de da cunha, 6",RN
nicole almeida,529.***.***-79,90.0,1934-03-05,chácara joão gabriel nogueira,MG
breno pereira,916.***.***-91,28.0,1995-08-09,"residencial gabriela azevedo, 35",PI
clara dias,190.***.***-50,38.0,1985-11-16,"conjunto da conceição, 39",DF
 milena vieira,237.***.***-87,69.0,1954-09-16,"campo camila das neves, 14",MG
vitor gabriel porto,394.***.***-43,86.0,1937-06-14,"residencial luiza correia, 598",ES
 erick da rosa,971.***.***-84,25.0,1998-12-14,núcleo de caldeira,AL
marcos vinicius da cunha,709.***.***-04,32.0,1991-07-25,"lagoa de rodrigues, 23",RN
 nina pires,651.***.***-26,44.0,1979-09-23,"viela eloah cunha, 42",RS
felipe ribeiro,259.***.***-60,77.0,1946-10-24,"núcleo maria julia cunha, 21",PE
maria julia porto,864.***.***-07,35.0,1989-01-18,alameda nascimento,GO
peo cardoso,125.***.***-50,35.0,1988-05-28,"travessa de da rosa, 86",PA
enrico gonçalves,637.***.***-46,84.0,1940-01-24,campo bernardo barros,MG
murilo campos,031.***.***-22,97.0,1926-09-20,recanto silva,SP
olivia porto,608.***.***-65,38.0,1985-12-23,"conjunto almeida, 3",AC
mirella da conceição,854.***.***-05,39.0,1984-11-21,"pátio joão lucas cardoso, 77",AM
stephany cardoso,453.***.***-46,89.0,1934-06-09,"praia luiz gustavo da luz, 83",RO
 gabriel souza,432.***.***-52,23.0,2000-06-21,"rodovia de costela, 116",CE
davi jesus,914.***.***-70,51.0,1972-11-27,"quadra vieira, 230",RO
guilherme freis,517.***.***-07,43.0,1980-07-12,"trecho de caldeira, 369",SE
theo cos,705.***.***-49,81.0,1942-07-20,"largo joão santos, 10",RN
 gusvo henrique das neves,430.***.***-00,98.0,1925-11-26,"setor juliana fogaça, 605",MA
maria luiza gomes,821.***.***-53,80.0,1944-11-02,"área ana vitória martins, 56",BA
davi lucas peixoto,610.***.***-07,36.0,1987-04-07,"área thomas moraes, 58",RJ
bruna almeida,610.***.***-57,72.0,1952-03-26,"chácara mendes, 64",PR
juliana ramos,846.***.***-05,20.0,2003-07-11,"vale de duarte, 5",AM
sarah nascimento,560.***.***-99,77.0,1946-06-30,"alameda das neves, 1",MT
brenda da luz,037.***.***-22,74.0,1950-03-11,"viela danilo farias, 54",PE
heloísa da cos,648.***.***-19,80.0,1943-08-12,"favela correia, 6",SE
emanuella araújo,758.***.***-82,64.0,1960-02-21,rodovia maria julia peixoto,AC
vitor viana,036.***.***-34,65.0,1958-04-13,"trecho de oliveira, 41",AC
yago lopes,720.***.***-59,75.0,1948-05-05,"lagoa danilo fogaça, 756",RO
lívia souza,308.***.***-50,35.0,1988-09-11,"colônia de correia, 93",CE
gabriela cavalcanti,359.***.***-41,56.0,1967-04-05,"setor oliveira, 4",MA
enzo nogueira,309.***.***-00,82.0,1942-01-30,morro de ferreira,MG
 ian barbosa,412.***.***-03,90.0,1933-04-10,"alameda eduardo barros, 60",PI
gabriela rocha,348.***.***-35,34.0,1989-11-17,"área joaquim nogueira, 98",MA
maria julia martins,576.***.***-12,81.0,1942-11-12,"loteamento de nunes, 83",PB
 marina santos,950.***.***-02,57.0,1966-04-11,"viela alana souza, 456",DF
heloísa teixeira,635.***.***-07,87.0,1936-05-23,"viela de da cruz, 61",PA
paulo farias,593.***.***-15,72.0,1951-11-18,"esplanada thomas pires, 33",AP
gabrielly cardoso,127.***.***-43,95.0,1928-07-26,estrada da cruz,AP
davi aragão,598.***.***-20,35.0,1988-09-24,"residencial de cardoso, 66",SE
yago peixoto,380.***.***-05,95.0,1929-02-12,"condomínio de nunes, 436",PI
erick da conceição,983.***.***-83,60.0,1963-08-25,"morro nunes, 657",CE
isis araújo,216.***.***-13,69.0,1954-06-08,"praia de campos, 82",SP
 nicolas rezende,460.***.***-49,42.0,1982-07-01,"esplanada marcela castro, 36",PA
 samuel nascimento,914.***.***-24,65.0,1958-12-09,setor luana ramos,AC
 maria fernanda barbosa,718.***.***-03,90.0,1934-11-02,"esplanada pedro nascimento, 71",GO
luiz felipe farias,069.***.***-74,80.0,1943-04-26,"favela kaique fogaça, 19",AL
 calebe silva,402.***.***-49,61.0,1962-05-24,rodovia de castro,ES
emanuella gonçalves,107.***.***-02,69.0,1954-07-17,endereço inválido,DESCONHECIDO
augusto oliveira,246.***.***-17,32.0,1992-02-27,"colônia costa, 81",RO
peo azevedo,953.***.***-65,68.0,1956-03-02,"vale vieira, 49",RS
 maria luiza fogaça,650.***.***-06,67.0,1956-12-12,"recanto de moreira, 426",MT
eduarda oliveira,365.***.***-83,58.0,1965-09-27,"sítio clarice sales, 99",PB
paulo ramos,490.***.***-43,21.0,2002-11-13,sítio azevedo,DF
beatriz pires,275.***.***-21,34.0,1990-03-11,recanto de castro,MA
fernando azevedo,790.***.***-99,28.0,1995-05-19,"estação rafael nunes, 90",RO
eloah silva,037.***.***-61,89.0,1935-03-30,"viela da rocha, 160",BA
caio araújo,407.***.***-14,34.0,1989-12-18,"morro ribeiro, 11",GO
 valentina sales,269.***.***-31,84.0,1939-08-08,"sítio ramos, 73",MG
melissa cunha,719.***.***-73,25.0,1999-02-17,"ladeira luiza pinto, 9",MT
laís da paz,139.***.***-33,97.0,1927-01-09,"lagoa cavalcanti, 12",SP
heitor silveira,183.***.***-89,89.0,1935-02-19,avenida azevedo,MA
fernanda moraes,064.***.***-44,45.0,1979-03-18,"avenida rocha, 13",PI
alana souza,801.***.***-42,50.0,1973-12-06,"praia moreira, 1",SE
 caroline da rosa,192.***.***-98,51.0,1972-05-26,"passarela rocha, 96",SP
stephany vieira,682.***.***-22,46.0,1977-05-22,"travessa guilherme carvalho, 7",MS
enzo barros,794.***.***-16,67.0,1957-01-13,"estação fernandes, 85",GO
caroline peixoto,036.***.***-30,67.0,1957-11-02,"loteamento thales pires, 51",RR
maria vitória novaes,804.***.***-58,39.0,1984-08-08,"via vieira, 26",GO
bruna moura,240.***.***-06,94.0,1930-02-13,"quadra amanda martins, 4",MG
maitê peixoto,501.***.***-58,61.0,1962-04-07,"distrito caldeira, 95",PI
 anthony barbosa,749.***.***-20,20.0,2004-03-18,"distrito de fogaça, 13",AP
alexane jesus,269.***.***-34,69.0,1955-03-01,"aeroporto de fogaça, 74",BA
marcos vinicius campos,421.***.***-22,45.0,1978-11-19,"trecho de barbosa, 7",RJ
rebeca da rosa,640.***.***-22,11.0,2013-01-01,trecho da mata,SC
henrique monteiro,378.***.***-73,6.0,2018-03-09,"largo theo silva, 91",SP
luigi da rosa,316.***.***-87,5.0,2018-08-23,"pátio de rocha, 4",MG
melissa dias,170.***.***-05,10.0,2014-02-21,"quadra isabel castro, 40",PI
igor ramos,695.***.***-77,6.0,2017-06-29,"lago de caldeira, 4",AC
alice cardoso,123.***.***-09,4.0,2019-10-14,"viaduto araújo, 76",PR
breno freis,205.***.***-41,16.0,2008-03-03,"loteamento de ferreira, 24",PA
ana lívia da paz,347.***.***-69,18.0,2006-09-01,"ladeira gomes, 10",RJ
 daniel cavalcanti,609.***.***-33,6.0,2018-01-09,"núcleo de da paz, 894",GO
 peo cavalcanti,863.***.***-84,1.0,2022-12-20,recanto de melo,BA
nome inválido,930.***.***-38,38.0,1985-10-14,"colônia da rocha, 31",RN
nome inválido,146.***.***-00,93.0,1930-08-27,"estrada nogueira, 21",PB
renan da luz,294.***.***-23,74.0,1949-07-29,rua não cadastrada,PR
caroline cos,401.***.***-88,21.0,2003-02-20,rua não cadastrada,RS
giovanna farias,241.***.***-35,40.0,1983-08-14,rua não cadastrada,RJ
maitê araújo,496.***.***-55,52.0,1971-07-10,rua não cadastrada,RS
lavínia da mo,039.***.***-00,21.0,2003-01-31,rua não cadastrada,ES
igor cardoso,345.***.***-05,49.0,1975-01-25,rua não cadastrada,AM
maria julia campos,018.***.***-13,98.0,1925-08-08,rua não cadastrada,MG
marcos vinicius das neves,617.***.***-02,86.0,1938-03-23,rua não cadastrada,RO
isabel barbosa,986.***.***-02,26.0,1997-12-17,rua não cadastrada,MG
ryan gomes,861.***.***-60,57.0,1966-05-17,rua não cadastrada,SP
breno duarte,463.***.***-98,66.0,1957-10-07,rua não cadastrada,TO
eloah peixoto,064.***.***-16,79.0,1944-05-23,rua não cadastrada,MG
luiza sales,726.***.***-80,56.0,1968-05-01,rua não cadastrada,GO
 alexane sales,427.***.***-40,87.0,1936-06-05,rua não cadastrada,SP
alícia campos,162.***.***-94,49.0,1975-03-20,rua não cadastrada,GO
luigi porto,826.***.***-83,43.0,1980-08-18,"parque de santos, 88",PI
